Autor,Favs,RTs,Texto,Timestamp
DATGAYHOE,0,0,Half the people condemning and attacking James Charles are hypocrites 👀😬,2019-05-17 12:37:19
ToF,2,0,I've defended the trending topic guys in the past because most of the time they're making videos on trivial drama t… https://t.co/YNVWWxVO4B,2019-05-17 12:37:17
SimmonsTrash,0,247,RT @kxrlpxrk: James Charles entering the male toilets at Coachella https://t.co/yFdm1Rum2m,2019-05-17 12:37:14
Katrina,0,13927,"RT @hurdlermiller: Okay I’m done, this meme of Tati on James Charles wins https://t.co/djjxjDaVPj",2019-05-17 12:37:05
Owen,0,23579,RT @RealMattLucas: Was totally straight before James Charles slid into my DMs and now look what’s happened https://t.co/Ps5oQglBN2,2019-05-17 12:36:59
ravitaS | CSGOEmpire,0,202,"RT @KEEMSTAR: I find it’s a bit strange Tati is asking for the Jame Charles Hate to stop when it already stopped &amp; he’s gaining subs. 

If…",2019-05-17 12:36:59
mccade cox,0,9375,RT @jaubreyYT: Don’t let James Charles distract you from the fact that Amy Schumer named her newborn son a play on the term “Genital Fissur…,2019-05-17 12:36:56
Mido,0,173,RT @mykalUgh: If you still have panic attack’s after presenting in front of your class I don’t wanna hear you utter a word about James Char…,2019-05-17 12:36:53
🖤,0,14546,RT @starkandspidey: james charles who?? stan bretman rock https://t.co/MmuDju87Wn,2019-05-17 12:36:48
Chris H,0,206,RT @PopCrave: Model Jay Alvarrez says James Charles has “no game” after posting flirty DM he received from James Charles. https://t.co/Hk24…,2019-05-17 12:36:47
i-D,2,0,Who wasn't GRIPPED by the fallout from Tati Westbrook’s viral video last weekend?  https://t.co/jcM28pjlMR,2019-05-17 12:36:18
Chris H,0,1,RT @DylDuplechain: James Charles when he makes his next youtube video https://t.co/tsrxpW30j9,2019-05-17 12:36:18
misha ♥,0,1,"RT @hawkeyeslut: whatever your opinion on the james charles drama is, at least we can all agree that the memes are 10/10",2019-05-17 12:36:18
Denise Lopez,0,34,RT @alyssajeter47: everyone on some james charles shit while jenna marbles out here smellin the bullshit and puttin out fires https://t.co/…,2019-05-17 12:36:10
Treetalk,0,382,"RT @ImTheRealThanos: Let’s see what happens....

Retweet for me or like for James Charles..... https://t.co/OCtkWOspmQ",2019-05-17 12:36:06
Nicholas Gilmore,0,0,Sooo odd how the paps just happened to be in BRISBANE AIRPORT!!... (of all places) with all the exits etc there....… https://t.co/A28g3nUH3I,2019-05-17 12:36:05
yung_phung,1,0,Me knowing James Charles is losing subscribers https://t.co/KYAjCotCOH,2019-05-17 12:36:04
shaunalee,0,129,"RT @AshlyeKyle: 🔴Retweet... Doing another Follow Spree for all I miss! 🔴

Tati SPEAKS OUT On James Charles... AGAIN https://t.co/Nphm2c4tNi…",2019-05-17 12:36:00
ana,1,0,what’s the latest update on the james Charles x Tati drama?,2019-05-17 12:35:52
LochnessSword,0,740,RT @LeakyFN: Who is prettier?                                                RT for Trog or Like for James Charles https://t.co/cqY1NeGzzZ,2019-05-17 12:35:50
ToF,8,1,"I've seen the same commentators berate 'cancel culture' and attack others for not doing their research, and then go… https://t.co/9gyr1t8LLm",2019-05-17 12:35:47
lildeluxe ✨,0,0,@onikarevenge james charles theme song,2019-05-17 12:35:47
˗ˏˋDelaneyˊˎ˗,0,123742,RT @emmymhartman: Me dancing to James Charles apology https://t.co/3PF5Q0Zehb,2019-05-17 12:35:46
Brooke B.,0,5877,"RT @dannynett: me watching all 43 minutes and 8 seconds of that tati video without knowing a single thing about her, james charles, or any…",2019-05-17 12:35:46
